exception_id,exception_code,source_system,source_id,field_name,original_value,applied_value,evidence_ref,confidence,ruleset_version
f6c5d385ae9a,date_normalized,crm_hubspot,HS-100424,signup_date,27/07/2022,2022-07-27,dd_mm_yyyy,,1.0.0
b2e0ffb53f37,date_normalized,crm_hubspot,HS-100425,signup_date,06/08/2022,2022-08-06,dd_mm_yyyy_ambiguous,,1.0.0
439919315915,date_normalized,crm_hubspot,HS-100427,signup_date,11/06/2023,2023-06-11,dd_mm_yyyy_ambiguous,,1.0.0
6e6795d412f3,date_normalized,crm_hubspot,HS-100444,signup_date,23/05/2022,2022-05-23,dd_mm_yyyy,,1.0.0
3e82e31551b0,date_normalized,crm_hubspot,HS-100559,signup_date,15/07/2023,2023-07-15,dd_mm_yyyy,,1.0.0
340cf9d08e44,date_normalized,crm_hubspot,HS-100582,signup_date,28/04/2022,2022-04-28,dd_mm_yyyy,,1.0.0
6f8599342517,date_normalized,crm_hubspot,HS-100621,signup_date,11/01/2024,2024-01-11,dd_mm_yyyy_ambiguous,,1.0.0
dab015851d2b,date_normalized,crm_hubspot,HS-100622,signup_date,26/04/2024,2024-04-26,dd_mm_yyyy,,1.0.0
7939539d2cd0,date_normalized,crm_hubspot,HS-100627,signup_date,26/06/2024,2024-06-26,dd_mm_yyyy,,1.0.0
9b426c1f6b8a,date_normalized,crm_hubspot,HS-100639,signup_date,20/04/2022,2022-04-20,dd_mm_yyyy,,1.0.0
9ba6ddd3b901,mrr_deal_annualized,crm_hubspot,D00502,amount,224004.00,18667.00,HS-100337,,1.0.0
9fd6fb868a78,mrr_deal_annualized,crm_hubspot,D00747,amount,540600.00,45050.00,HS-100500,,1.0.0
2bd76677f408,mrr_deal_annualized,crm_hubspot,D00876,amount,287916.00,23993.00,HS-100585,,1.0.0
60e480479462,mrr_imputed_from_deal,crm_hubspot,HS-100012,mrr_mxn,,42392.00,D00015,medium,1.0.0
2efaa50dac28,mrr_imputed_from_deal,crm_hubspot,HS-100021,mrr_mxn,,25635.00,D00026,medium,1.0.0
52574d3895d2,mrr_imputed_from_deal,crm_hubspot,HS-100030,mrr_mxn,,3949.00,D00037,medium,1.0.0
6611a1c8794c,mrr_imputed_from_deal,crm_hubspot,HS-100056,mrr_mxn,,86911.00,D00072,medium,1.0.0
224f5fd28828,mrr_imputed_from_deal,crm_hubspot,HS-100094,mrr_mxn,,13136.00,D00131,medium,1.0.0
a09f90f93a70,mrr_imputed_from_deal,crm_hubspot,HS-100107,mrr_mxn,,72024.00,D00146,high,1.0.0
d984d5d3ca88,mrr_imputed_from_deal,crm_hubspot,HS-100119,mrr_mxn,,946020.00,D00163,medium,1.0.0
482b9110bd9a,mrr_imputed_from_deal,crm_hubspot,HS-100141,mrr_mxn,,43973.00,D00195,medium,1.0.0
fc1fda26e0e8,mrr_imputed_from_deal,crm_hubspot,HS-100216,mrr_mxn,,4541.00,D00312,medium,1.0.0
1197e2201ba9,mrr_imputed_from_deal,crm_hubspot,HS-100229,mrr_mxn,,387828.00,D00330,medium,1.0.0
7d9dd80c7d53,mrr_imputed_from_deal,crm_hubspot,HS-100275,mrr_mxn,,7843.00,D00412,medium,1.0.0
93a0463c4a15,mrr_imputed_from_deal,crm_hubspot,HS-100311,mrr_mxn,,7738.00,D00469,medium,1.0.0
8d3ec6268f20,mrr_imputed_from_deal,crm_hubspot,HS-100322,mrr_mxn,,19823.00,D00482,medium,1.0.0
46923ed63c9c,mrr_imputed_from_deal,crm_hubspot,HS-100337,mrr_mxn,,18667.00,D00503,high,1.0.0
a03bcab1ed22,mrr_imputed_from_deal,crm_hubspot,HS-100348,mrr_mxn,,31884.00,D00519,medium,1.0.0
f4607a68edf9,mrr_imputed_from_deal,crm_hubspot,HS-100358,mrr_mxn,,27214.00,D00532,medium,1.0.0
a5634ceb2f57,mrr_imputed_from_deal,crm_hubspot,HS-100448,mrr_mxn,,144600.00,D00672,medium,1.0.0
707f0e9fe4a9,mrr_imputed_from_deal,crm_hubspot,HS-100452,mrr_mxn,,27551.00,D00678,medium,1.0.0
19bb0a340e6c,mrr_imputed_from_deal,crm_hubspot,HS-100465,mrr_mxn,,79050.00,D00697,medium,1.0.0
1a0a7c40bc73,mrr_imputed_from_deal,crm_hubspot,HS-100500,mrr_mxn,,45050.00,D00746,high,1.0.0
e784adbca272,mrr_imputed_from_deal,crm_hubspot,HS-100523,mrr_mxn,,70544.00,D00788,medium,1.0.0
0b670ebdce10,mrr_imputed_from_deal,crm_hubspot,HS-100553,mrr_mxn,,12283.00,D00831,high,1.0.0
019093384366,mrr_imputed_from_deal,crm_hubspot,HS-100573,mrr_mxn,,6864.00,D00857,medium,1.0.0
d2724c3b6597,mrr_imputed_from_deal,crm_hubspot,HS-100585,mrr_mxn,,23993.00,D00875,medium,1.0.0
89c1d1f622e8,mrr_imputed_from_deal,crm_hubspot,HS-100608,mrr_mxn,,3133.00,D00902,medium,1.0.0
c5630859ba2b,mrr_imputed_from_deal,crm_hubspot,HS-100626,mrr_mxn,,8220.00,D00932,medium,1.0.0
8bc359e2d9ad,mrr_imputed_from_deal,crm_hubspot,HS-100642,mrr_mxn,,7598.00,D00951,medium,1.0.0
2f92a13d9e6b,mrr_imputed_from_deal,crm_hubspot,HS-100647,mrr_mxn,,282216.00,D00957,medium,1.0.0
