hubspot_id,name,domain,segment,industry,mrr,currency,signup_date,csm_owner,plan,state,churn_date,mrr_mxn,mrr_original,currency_original,mrr_source,mrr_confidence
HS-100111,Industrias Puente y Tello,industrias124.com.mx,SMB,Construcción,7908.00,MXN,2023-04-01,Diego Ortega,Basico,Nuevo León,2024-02-29,7908.00,7908.00,MXN,crm,none
HS-100112,Prieto y Guardado S.A. de C.V.,prieto222.com.mx,SMB,Construcción,8050.00,MXN,2023-03-10,Diego Ortega,Basico,Chihuahua,,8050.00,8050.00,MXN,crm,none
HS-100113,Club Espinoza y Magaña,club290.com.mx,Enterprise,Hospitalidad,47414.00,MXN,2024-04-29,Luis Peña,Premium,Querétaro,,47414.00,47414.00,MXN,crm,none
HS-100114,Bermúdez-Lira,bermúdezlira726.com.mx,Mid-Market,Manufactura,13147.00,MXN,2023-07-09,Carla Nuñez,Pro,Querétaro,2023-10-04,13147.00,13147.00,MXN,crm,none
HS-100115,Valdez-Manzanares A.C.,valdezmanzan967.com.mx,Mid-Market,Agroindustria,25085.00,MXN,2022-11-22,Carla Nuñez,Pro,Querétaro,,25085.00,25085.00,MXN,crm,none
HS-100116,Laboratorios Rocha-Casas,laboratorios491.com.mx,Mid-Market,Alimentos,20164.00,MXN,2022-03-20,Marta Díaz,Pro,Yucatán,,20164.00,20164.00,MXN,crm,none
HS-100117,Cuellar-Fonseca,cuellarfonse842.com.mx,Mid-Market,Retail,22130.00,MXN,2023-04-30,Fernanda Solís,Pro,CDMX,2024-05-16,22130.00,22130.00,MXN,crm,none
HS-100118,Despacho Ochoa y Vega,despacho153.com.mx,SMB,Tecnología,8644.00,MXN,2022-01-17,Ana Ruiz,Basico,Chihuahua,2022-11-27,8644.00,8644.00,MXN,crm,none
HS-100119,Campos y Solano S.A.,campos621.com.mx,Enterprise,Educación,946020.00,MXN,2022-09-13,Jorge Ibarra,Premium,Yucatán,,946020.00,,MXN,imputed_from_deal,medium
HS-100120,Miramontes-Madera,miramontesma881.com.mx,SMB,Logística,6821.00,MXN,2023-09-05,Ana Ruiz,Basico,Sonora,,6821.00,6821.00,MXN,crm,none
HS-100121,Laboratorios Velásquez-Aponte,laboratorios102.com.mx,Mid-Market,Agroindustria,15808.00,MXN,2022-07-05,Fernanda Solís,Pro,Jalisco,,15808.00,15808.00,MXN,crm,none
HS-100122,"Ojeda, Carbajal y Venegas",ojeda246.com.mx,Enterprise,Tecnología,32919.00,MXN,2024-06-21,Jorge Ibarra,Premium,Yucatán,,32919.00,32919.00,MXN,crm,none
HS-100123,Aragón y Monroy A.C.,aragón609.com.mx,SMB,Agroindustria,5849.00,MXN,2023-11-26,Fernanda Solís,Basico,Querétaro,,5849.00,5849.00,MXN,crm,none
HS-100124,"Meraz, Ordóñez y Anaya",meraz881.com.mx,SMB,Agroindustria,5719.00,MXN,2023-08-17,Marta Díaz,Basico,Sonora,,5719.00,5719.00,MXN,crm,none
HS-100125,Durán y Carrillo S. R.L. de C.V.,durán824.com.mx,SMB,Automotriz,3620.00,MXN,2022-01-13,Fernanda Solís,Basico,Nuevo León,,3620.00,3620.00,MXN,crm,none
HS-100126,"Grupo Alva, Linares y Mendoza",grupo847.com.mx,SMB,Logística,3165.00,MXN,2022-12-20,Carla Nuñez,Basico,Sonora,2023-07-25,3165.00,3165.00,MXN,crm,none
HS-100127,Club Anaya-Valencia,club450.com.mx,Mid-Market,Logística,24358.00,MXN,2023-07-04,Jorge Ibarra,Pro,Querétaro,,24358.00,24358.00,MXN,crm,none
HS-100128,Valencia-Guardado e Hijos,valenciaguar553.com.mx,Mid-Market,Servicios Financieros,23344.00,MXN,2022-09-01,Jorge Ibarra,Pro,Guanajuato,,23344.00,23344.00,MXN,crm,none
HS-100129,Reséndez S.A. de C.V.,reséndez257.com.mx,SMB,Hospitalidad,2211.00,MXN,2024-05-10,Diego Ortega,Basico,Sonora,,2211.00,2211.00,MXN,crm,none
HS-100130,Mayorga-Corona,mayorgacoron974.com.mx,SMB,Hospitalidad,2169.00,MXN,2022-08-16,Jorge Ibarra,Basico,Chihuahua,2023-04-12,2169.00,2169.00,MXN,crm,none
HS-100131,Apodaca-Puga S.A. de C.V.,apodacapuga453.com.mx,SMB,Automotriz,4278.00,MXN,2023-05-13,Diego Ortega,Basico,Yucatán,,4278.00,4278.00,MXN,crm,none
HS-100132,Lebrón-Alonso S.A.,lebrónalonso482.com.mx,SMB,Retail,4850.00,MXN,2024-01-20,Ana Ruiz,Basico,Nuevo León,,4850.00,4850.00,MXN,crm,none
HS-100133,"Serrato, Acosta y Granados",serrato422.com.mx,SMB,Salud,7682.00,MXN,2023-07-11,Jorge Ibarra,Basico,Chihuahua,,7682.00,7682.00,MXN,crm,none
HS-100134,Pizarro S.A.,pizarro466.com.mx,SMB,Manufactura,2721.00,MXN,2024-04-02,Diego Ortega,Basico,Estado de México,,2721.00,2721.00,MXN,crm,none
HS-100135,Muñiz-Guardado,muñizguardad845.com.mx,Enterprise,Servicios Financieros,58276.00,MXN,2023-12-29,Luis Peña,Premium,Chihuahua,,58276.00,58276.00,MXN,crm,none
HS-100136,Marín-Pérez,marínpérez638.com.mx,SMB,Salud,8196.00,MXN,2022-07-22,Ana Ruiz,Basico,Puebla,,8196.00,8196.00,MXN,crm,none
HS-100137,"Ruelas, Lugo y Camacho",ruelas563.com.mx,SMB,Logística,3073.00,MXN,2024-01-16,Jorge Ibarra,Basico,Jalisco,,3073.00,3073.00,MXN,crm,none
HS-100138,Industrias Arellano-Cedillo,industrias997.com.mx,Mid-Market,Manufactura,16841.00,MXN,2023-10-03,Carla Nuñez,Pro,CDMX,,16841.00,16841.00,MXN,crm,none
HS-100139,Curiel-Valentín e Hijos,curielvalent418.com.mx,SMB,Servicios Financieros,2763.00,MXN,2024-02-15,Jorge Ibarra,Basico,Jalisco,,2763.00,2763.00,MXN,crm,none
HS-100140,Grupo Bahena y Barragán,grupo853.com.mx,Enterprise,Automotriz,89122.00,MXN,2023-07-30,Carla Nuñez,Premium,Querétaro,,89122.00,89122.00,MXN,crm,none
