company_sk,master_id,hubspot_id,account_id,vitally_id,company_name,domain_label,segment,industry,plan,csm_owner,state,signup_date,churn_date,churn_status,attributes_hash,effective_from,effective_to,is_current,ruleset_version
b9d1e25c2cfd,0c9833234628,HS-100252,ACC-2251,cus_100251,Casárez-Granado,casarezgrana248,SMB,Hospitalidad,Basico,Carla Nuñez,Guanajuato,2022-03-04,,active,54379cde7967,2024-08-31,,True,1.0.0
d62d3b04ba35,0cba696d8c85,HS-100251,ACC-2250,cus_100250,Carrillo-Ceja,carrilloceja114,SMB,Retail,Basico,Fernanda Solís,Chihuahua,2024-05-27,,active,05c44af64c13,2024-08-31,,True,1.0.0
72f58174896e,0d4cd09dfa99,HS-100221,ACC-2220,cus_100220,Negrete-Acosta,negreteacost885,Mid-Market,Salud,Pro,Jorge Ibarra,Yucatán,2022-09-04,,active,f20fd128e16f,2024-08-31,,True,1.0.0
04a4b36d18e0,0d6202950750,HS-100152,ACC-2151,cus_100151,Narváez-Casillas S. R.L. de C.V.,narvaezcasil978,SMB,Educación,Basico,Carla Nuñez,Jalisco,2023-10-12,,active,54379cde7967,2024-08-31,,True,1.0.0
dac4584295f7,0df07dc09d21,HS-100456,ACC-2455,cus_100455,Verdugo y Esquibel S.C.,verdugo926,SMB,Automotriz,Basico,Marta Díaz,Puebla,2022-01-02,,active,58b139e9510f,2024-08-31,,True,1.0.0
38c1b26b9607,0e7b9d22a314,HS-100306,ACC-2305,cus_100305,Borrego y Arenas S.C.,borrego403,Enterprise,Tecnología,Premium,Diego Ortega,Chihuahua,2023-03-01,,active,6c2887815d0e,2024-08-31,,True,1.0.0
f64269b37f6d,0f42092743f1,HS-100626,ACC-2625,cus_100625,Almaraz y Sanches S.A.,almaraz100,SMB,Retail,Basico,Diego Ortega,Querétaro,2022-01-12,,active,b91952ad0533,2024-08-31,,True,1.0.0
b01ddbad2b96,0f853c61d098,HS-100300,ACC-2299,cus_100299,Laboratorios Villalpando y Limón,laboratorios375,SMB,Educación,Basico,Luis Peña,Guanajuato,2023-07-20,,active,b1d5ba07b065,2024-08-31,,True,1.0.0
9ffb1b5c2dd8,0f9a82123cbe,HS-100202,ACC-2201,cus_100201,Elizondo-Vergara S.A.,elizondoverg185,SMB,Manufactura,Basico,Ana Ruiz,Nuevo León,2023-06-09,,active,3006ea73b76b,2024-08-31,,True,1.0.0
78c81ec006ea,0fda0433e133,HS-100472,ACC-2471,cus_100471,Industrias Delgadillo-Vaca,industrias656,Enterprise,Retail,Premium,Ana Ruiz,Querétaro,2024-04-04,,active,109ecb009392,2024-08-31,,True,1.0.0
af29d67881b7,108f213736fb,HS-100204,ACC-2203,cus_100203,Proyectos Amaya y Osorio,proyectos386,Enterprise,Construcción,Premium,Marta Díaz,Guanajuato,2022-04-05,,active,80ca9c6c79de,2024-08-31,,True,1.0.0
e904ea1eea2c,10e7e55b829d,HS-100538,ACC-2537,cus_100537,Alvarez y Salcido S.A. de C.V.,alvarez51,SMB,Retail,Basico,Luis Peña,CDMX,2023-02-03,,active,b1d5ba07b065,2024-08-31,,True,1.0.0
3396f600a7be,118a77d9045d,HS-100559,ACC-2558,cus_100558,"Corporacin Valdez, Samaniego y Sotelo",corporacin308,Mid-Market,Tecnología,Pro,Marta Díaz,Estado de México,2023-07-15,,active,991478174dff,2024-08-31,,True,1.0.0
8017e853820f,1197d211e7e1,HS-100127,ACC-2126,cus_100126,Club Anaya-Valencia,club450,Mid-Market,Logística,Pro,Jorge Ibarra,Querétaro,2023-07-04,,active,f20fd128e16f,2024-08-31,,True,1.0.0
027cde3dbe98,12031a79d1d3,HS-100460,ACC-2459,cus_100459,Rojas y Marrero e Hijos,rojas321,SMB,Retail,Basico,Diego Ortega,Nuevo León,2023-03-29,,active,b91952ad0533,2024-08-31,,True,1.0.0
1d680f6442c7,1288cafbc1fe,HS-100439,ACC-2438,cus_100438,"Prieto, Alejandro y Tamayo",prieto224,Mid-Market,Servicios Financieros,Pro,Diego Ortega,Puebla,2024-04-21,,active,79494cbaf8f7,2024-08-31,,True,1.0.0
044e4e7b51a1,12bb70998c29,HS-100648,ACC-2647,cus_100647,Gallardo-Bustamante S.A.,gallardobust560,Mid-Market,Hospitalidad,Pro,Luis Peña,Querétaro,2023-04-30,,active,1e61b2a314d4,2024-08-31,,True,1.0.0
1fca6d29be99,1344cdebacd2,HS-100498,ACC-2497,cus_100497,"Club Saldaña, Lira y Heredia",club162,SMB,Retail,Basico,Carla Nuñez,CDMX,2023-04-13,,active,54379cde7967,2024-08-31,,True,1.0.0
a8a1abf90cb3,13d2b5cf6ea2,HS-100228,ACC-2227,cus_100227,"Tórrez, Sotelo y Muñoz",torrez940,SMB,Salud,Basico,Fernanda Solís,Sonora,2022-06-08,,active,05c44af64c13,2024-08-31,,True,1.0.0
43ba9b035471,143d4fc0dd50,HS-100289,ACC-2288,cus_100288,Quintanilla-Hernádez,quintanillah633,SMB,Educación,Basico,Carla Nuñez,Querétaro,2022-05-23,,active,54379cde7967,2024-08-31,,True,1.0.0
565635d8bd36,14c82590fbd2,HS-100324,ACC-2323,cus_100323,"Proyectos Orozco, Rivera y Abreu",proyectos205,SMB,Automotriz,Basico,Ana Ruiz,Jalisco,2022-11-20,,active,3006ea73b76b,2024-08-31,,True,1.0.0
20b45697f19e,14e457b52fab,HS-100358,ACC-2357,cus_100357,Zapata-Moreno,zapatamoreno696,Mid-Market,Automotriz,Pro,Fernanda Solís,Estado de México,2022-04-03,2023-05-20,churned,4fa0276c7767,2024-08-31,,True,1.0.0
edc3dfc87183,1598cd0f4138,HS-100287,ACC-2286,cus_100286,Burgos y Rosales S.C.,burgos640,SMB,Automotriz,Basico,Ana Ruiz,CDMX,2022-06-04,,active,3006ea73b76b,2024-08-31,,True,1.0.0
bf577a8d22a5,16541ff794fd,HS-100088,ACC-2087,cus_100087,Raya e Hijos,raya696,Mid-Market,Automotriz,Pro,Jorge Ibarra,Nuevo León,2022-03-13,,active,f20fd128e16f,2024-08-31,,True,1.0.0
2121b4cfb678,1657dbc3746e,HS-100093,ACC-2092,cus_100092,"Laboratorios Briseño, Toledo y Salgado",laboratorios666,Mid-Market,Construcción,Pro,Luis Peña,CDMX,2023-05-10,2023-11-12,churned,1e61b2a314d4,2024-08-31,,True,1.0.0
828a4e011d17,167708133e90,HS-100482,ACC-2481,cus_100481,Solorio y Cisneros A.C.,solorio251,Mid-Market,Manufactura,Pro,Luis Peña,Nuevo León,2023-08-02,,active,1e61b2a314d4,2024-08-31,,True,1.0.0
48fe8a4bd597,16b237fd6c05,HS-100344,ACC-2343,cus_100343,Caraballo S. R.L. de C.V.,caraballo573,SMB,Manufactura,Basico,Diego Ortega,CDMX,2022-10-03,2023-08-19,churned,b91952ad0533,2024-08-31,,True,1.0.0
d5c3aeff2c94,16c951b00315,HS-100060,ACC-2059,cus_100059,"Corporacin Verduzco, Caraballo y Raya",corporacin228,SMB,Alimentos,Basico,Diego Ortega,Puebla,2023-12-24,,active,b91952ad0533,2024-08-31,,True,1.0.0
4b05f4d08dca,179d97e50dff,HS-100135,ACC-2134,cus_100134,Muñiz-Guardado,munizguardad845,Enterprise,Servicios Financieros,Premium,Luis Peña,Chihuahua,2023-12-29,,active,a06dca9fd7ac,2024-08-31,,True,1.0.0
0ea9ded1b020,17ad157b6ec9,HS-100239,ACC-2238,cus_100238,Villaseñor y Palomino S.A.,villasenor547,Mid-Market,Construcción,Pro,Diego Ortega,Puebla,2022-05-29,,active,79494cbaf8f7,2024-08-31,,True,1.0.0
5e1a21eee857,183da402db0f,HS-100246,ACC-2245,cus_100245,Arellano y Armas S.C.,arellano29,Enterprise,Construcción,Premium,Marta Díaz,Nuevo León,2022-05-21,,active,80ca9c6c79de,2024-08-31,,True,1.0.0
92d1529356d0,190a2d8a76a2,HS-100385,ACC-2384,cus_100384,"Club Zarate, Peña y Gaona",club804,Mid-Market,Automotriz,Pro,Carla Nuñez,CDMX,2023-07-08,,active,49d8861015c4,2024-08-31,,True,1.0.0
e6908faa5364,19e40842726a,HS-100282,ACC-2281,cus_100281,Luevano-Mota e Hijos,luevanomota900,SMB,Tecnología,Basico,Diego Ortega,Nuevo León,2022-05-02,,active,b91952ad0533,2024-08-31,,True,1.0.0
1fb8ca70e644,1a1192e17404,HS-100510,ACC-2509,cus_100509,"Escobedo, Guzmán y Montaño",escobedo646,Mid-Market,Construcción,Pro,Diego Ortega,Guanajuato,2022-12-27,2023-09-08,churned,79494cbaf8f7,2024-08-31,,True,1.0.0
c02520b9e906,1a38af8fa679,HS-100446,ACC-2445,cus_100445,Despacho Flórez-Hernandes,despacho130,Enterprise,Automotriz,Premium,Marta Díaz,Puebla,2022-03-28,,active,80ca9c6c79de,2024-08-31,,True,1.0.0
dac027d1e80e,1b589de854cd,HS-100298,ACC-2297,cus_100297,Corporacin Casárez y Fuentes,corporacin50,SMB,Salud,Basico,Diego Ortega,Yucatán,2023-05-30,,active,b91952ad0533,2024-08-31,,True,1.0.0
32b1cb3907fd,1c09f8474886,HS-100465,ACC-2464,cus_100464,Bravo-Terán,bravoteran567,Enterprise,Construcción,Premium,Ana Ruiz,Querétaro,2022-02-07,,active,109ecb009392,2024-08-31,,True,1.0.0
66582b324a47,1cf6a4e18b6f,HS-100410,ACC-2409,cus_100409,Laboratorios Garrido-Quiñónez,laboratorios512,SMB,Automotriz,Basico,Luis Peña,Estado de México,2022-01-08,,active,b1d5ba07b065,2024-08-31,,True,1.0.0
8e9970139066,1d87384d7c5c,HS-100118,ACC-2117,cus_100117,Despacho Ochoa y Vega,despacho153,SMB,Tecnología,Basico,Ana Ruiz,Chihuahua,2022-01-17,2022-11-27,churned,3006ea73b76b,2024-08-31,,True,1.0.0
13215ec3a1e3,1db97fc7c4a3,HS-100208,ACC-2207,cus_100207,Aguilera-Matos,aguileramato695,Mid-Market,Automotriz,Pro,Ana Ruiz,Puebla,2023-01-29,,active,b10d0bb0f81c,2024-08-31,,True,1.0.0
5cd00d42f3d6,1e08214c6d84,HS-100397,ACC-2396,cus_100396,Saldivar-Rangel,saldivarrang192,Mid-Market,Retail,Pro,Jorge Ibarra,Jalisco,2022-09-10,,active,f20fd128e16f,2024-08-31,,True,1.0.0
e5adffc88f6b,1e6e8393975f,HS-100587,ACC-2586,cus_100586,"Club Pizarro, Bernal y Díaz",club215,SMB,Logística,Basico,Jorge Ibarra,Jalisco,2023-12-02,,active,178fe802cd43,2024-08-31,,True,1.0.0
c5aca975321c,1e79ff8dda47,HS-100357,ACC-2356,cus_100356,Club Vera-Pelayo,club424,SMB,Construcción,Basico,Carla Nuñez,Nuevo León,2022-06-09,,active,54379cde7967,2024-08-31,,True,1.0.0
09d0e2b1cec2,1ece7b99e449,HS-100120,ACC-2119,cus_100119,Miramontes-Madera,miramontesma881,SMB,Logística,Basico,Ana Ruiz,Sonora,2023-09-05,,active,3006ea73b76b,2024-08-31,,True,1.0.0
dfcc43c01250,1f5adba0a272,HS-100564,ACC-2563,cus_100563,Urbina y Cedillo S.A.,urbina378,SMB,Logística,Basico,Ana Ruiz,CDMX,2022-09-28,,active,3006ea73b76b,2024-08-31,,True,1.0.0
9e42e17cd9c2,1fca191b2c4a,HS-100496,ACC-2495,cus_100495,Grupo Salcedo-Valles,grupo160,SMB,Retail,Basico,Jorge Ibarra,Jalisco,2024-03-06,,active,178fe802cd43,2024-08-31,,True,1.0.0
27205d652e9a,201dacb5b332,HS-100122,ACC-2121,cus_100121,"Ojeda, Carbajal y Venegas",ojeda246,Enterprise,Tecnología,Premium,Jorge Ibarra,Yucatán,2024-06-21,,active,9cf3d8b0a4e9,2024-08-31,,True,1.0.0
dda768a4093d,2046e13bb328,HS-100109,ACC-2108,cus_100108,Collazo-Frías e Hijos,collazofrias680,SMB,Logística,Basico,Marta Díaz,Estado de México,2022-08-03,,active,58b139e9510f,2024-08-31,,True,1.0.0
45e96d7c042f,20e77f6284f1,HS-100312,ACC-2311,cus_100311,Molina y Asociados,molina708,SMB,Educación,Basico,Jorge Ibarra,CDMX,2023-05-18,,active,178fe802cd43,2024-08-31,,True,1.0.0
66d3e7f172c2,20eb324cdfc6,HS-100220,ACC-2219,cus_100219,"Industrias Cotto, Rentería y de la Garza",industrias773,Mid-Market,Alimentos,Pro,Carla Nuñez,Sonora,2022-09-05,,active,49d8861015c4,2024-08-31,,True,1.0.0
b3fe264b9e64,216e100a95ab,HS-100261,ACC-2260,cus_100260,Rodarte y Madrigal S.C.,rodarte38,Mid-Market,Logística,Pro,Diego Ortega,CDMX,2024-06-29,,active,79494cbaf8f7,2024-08-31,,True,1.0.0
6dec4731b6ff,21a76877b923,HS-100611,ACC-2610,cus_100610,Granados A.C.,granados665,SMB,Educación,Basico,Ana Ruiz,Nuevo León,2023-10-27,2024-06-28,churned,3006ea73b76b,2024-08-31,,True,1.0.0
719d34eba78b,21f411028416,HS-100169,ACC-2168,cus_100168,Proyectos Garibay-Espinosa,proyectos892,SMB,Agroindustria,Basico,Luis Peña,Puebla,2024-02-04,,active,b1d5ba07b065,2024-08-31,,True,1.0.0
7986adf62580,22b962d9afed,HS-100620,ACC-2619,cus_100619,"Estrada, Rincón y Zavala",estrada229,Mid-Market,Servicios Financieros,Pro,Ana Ruiz,Yucatán,2023-09-15,,active,b10d0bb0f81c,2024-08-31,,True,1.0.0
62d58de806ed,237b3e09b789,HS-100349,ACC-2348,cus_100348,"Cabán, Olivárez y Tamayo",caban551,SMB,Tecnología,Basico,Luis Peña,CDMX,2023-06-24,,active,b1d5ba07b065,2024-08-31,,True,1.0.0
19d2e8cfbae6,2472eb83ec96,HS-100640,ACC-2639,cus_100639,Bañuelos-Gallegos,banuelosgall766,SMB,Automotriz,Basico,Jorge Ibarra,CDMX,2022-05-10,,active,178fe802cd43,2024-08-31,,True,1.0.0
d76d102491b8,247338856c13,HS-100138,ACC-2137,cus_100137,Industrias Arellano-Cedillo,industrias997,Mid-Market,Manufactura,Pro,Carla Nuñez,CDMX,2023-10-03,,active,49d8861015c4,2024-08-31,,True,1.0.0
d786d138614c,25de70f28a81,HS-100354,ACC-2353,cus_100353,"Proyectos Loera, Vergara y Torres",proyectos759,SMB,Construcción,Basico,Luis Peña,CDMX,2023-05-28,,active,b1d5ba07b065,2024-08-31,,True,1.0.0
2085d99dee87,25f129ce4fc4,HS-100442,ACC-2441,cus_100441,"Toro, Paredes y Montenegro",toro625,Enterprise,Agroindustria,Premium,Diego Ortega,Puebla,2022-08-21,,active,6c2887815d0e,2024-08-31,,True,1.0.0
94fb50613d82,267f7ba8567b,HS-100155,ACC-2154,cus_100154,"Rivero, Arroyo y Guevara",rivero816,Enterprise,Salud,Premium,Luis Peña,Puebla,2023-10-31,,active,a06dca9fd7ac,2024-08-31,,True,1.0.0
3c659ae5df2b,26ff7d714cea,HS-100270,ACC-2269,cus_100269,"Rangel, Arellano y Carreón",rangel393,SMB,Salud,Basico,Marta Díaz,Guanajuato,2022-05-09,2023-10-11,churned,58b139e9510f,2024-08-31,,True,1.0.0
dbdb9ffffa1e,279ab800ac35,HS-100550,ACC-2549,cus_100549,Ledesma-Rolón S.A.,ledesmarolon152,Mid-Market,Automotriz,Pro,Diego Ortega,Jalisco,2024-04-09,,active,79494cbaf8f7,2024-08-31,,True,1.0.0
8200c3d67a84,2856f6708652,HS-100387,ACC-2386,cus_100386,Laboratorios Herrera-Fuentes,laboratorios578,SMB,Servicios Financieros,Basico,Marta Díaz,CDMX,2023-11-19,,active,58b139e9510f,2024-08-31,,True,1.0.0
555c12a2e0ae,289073814fdb,HS-100469,ACC-2468,cus_100468,Calderón S.A.,calderon375,SMB,Educación,Basico,Diego Ortega,Jalisco,2024-05-08,,active,b91952ad0533,2024-08-31,,True,1.0.0
915ebceb6048,28e7c24cd4cb,HS-100629,ACC-2628,cus_100628,Amaya-Prado,amayaprado953,SMB,Retail,Basico,Diego Ortega,Puebla,2023-06-25,,active,b91952ad0533,2024-08-31,,True,1.0.0
ed3beb9e4ed1,295d85bd00ea,HS-100405,ACC-2404,cus_100404,Industrias Fajardo y Patiño,industrias308,SMB,Tecnología,Basico,Jorge Ibarra,Guanajuato,2023-04-22,,active,178fe802cd43,2024-08-31,,True,1.0.0
d1cb5d59f8d0,29972f42dfdd,HS-100342,ACC-2341,cus_100341,"Ceja, Longoria y Alonso",ceja453,SMB,Servicios Financieros,Basico,Ana Ruiz,Chihuahua,2022-08-31,,active,3006ea73b76b,2024-08-31,,True,1.0.0
6070383f5596,29c00e13c4e6,HS-100219,ACC-2218,cus_100218,"Grupo Tijerina, Ponce y Mares",grupo157,Mid-Market,Hospitalidad,Pro,Fernanda Solís,Yucatán,2023-06-03,,active,4fa0276c7767,2024-08-31,,True,1.0.0
dc2a662a479c,2abb19d06446,HS-100012,ACC-2011,cus_100011,Zaragoza y Asociados,zaragoza948,Enterprise,Logística,Premium,Diego Ortega,CDMX,2023-07-29,,active,6c2887815d0e,2024-08-31,,True,1.0.0
13abfbb82870,2b4be83e1c60,HS-100116,ACC-2115,cus_100115,Laboratorios Rocha-Casas,laboratorios491,Mid-Market,Alimentos,Pro,Marta Díaz,Yucatán,2022-03-20,,active,991478174dff,2024-08-31,,True,1.0.0
d84871c81ae2,2c29d4cb2989,HS-100520,ACC-2519,cus_100519,Peralta-Cabán,peraltacaban349,SMB,Tecnología,Basico,Diego Ortega,Guanajuato,2022-01-24,,active,b91952ad0533,2024-08-31,,True,1.0.0
913611535dfc,2c678f4bf9d9,HS-100451,ACC-2450,cus_100450,Rentería-Contreras,renteriacont845,Mid-Market,Educación,Pro,Marta Díaz,Guanajuato,2024-02-06,,active,991478174dff,2024-08-31,,True,1.0.0
473e51968399,2cc32419a667,HS-100009,ACC-2008,cus_100008,González-Serrano A.C.,gonzalezserr876,Mid-Market,Retail,Pro,Fernanda Solís,Guanajuato,2022-11-03,,active,4fa0276c7767,2024-08-31,,True,1.0.0
bd4bea27e15c,2cd7d67219cc,HS-100521,ACC-2520,cus_100520,Rosas-Rojas e Hijos,rosasrojas23,Mid-Market,Manufactura,Pro,Diego Ortega,Guanajuato,2022-06-17,2024-02-05,churned,79494cbaf8f7,2024-08-31,,True,1.0.0
670c14c9327e,2d38af661686,HS-100123,ACC-2122,cus_100122,Aragón y Monroy A.C.,aragon609,SMB,Agroindustria,Basico,Fernanda Solís,Querétaro,2023-11-26,,active,05c44af64c13,2024-08-31,,True,1.0.0
2c3c3fae4471,2dee62dca080,HS-100226,ACC-2225,cus_100225,Serna y Anaya e Hijos,serna462,SMB,Manufactura,Basico,Luis Peña,CDMX,2023-05-29,2024-06-22,churned,b1d5ba07b065,2024-08-31,,True,1.0.0
c42b486dd93e,2e1dc645f108,HS-100240,ACC-2239,cus_100239,Chacón-Jaimes,chaconjaimes695,SMB,Salud,Basico,Diego Ortega,Estado de México,2023-07-10,,active,b91952ad0533,2024-08-31,,True,1.0.0
20bf16f56e4d,2e313ecc9f06,HS-100610,ACC-2609,cus_100609,Batista-Briseño S.A.,batistabrise410,Mid-Market,Educación,Pro,Diego Ortega,Yucatán,2023-04-12,,active,79494cbaf8f7,2024-08-31,,True,1.0.0
2b1dcc9e895d,2f23ed120ca5,HS-100352,ACC-2351,cus_100351,"Estévez, Covarrubias y Ramírez",estevez829,Mid-Market,Manufactura,Pro,Ana Ruiz,Puebla,2023-08-01,,active,b10d0bb0f81c,2024-08-31,,True,1.0.0
f65b8125b5bf,2f26a0da0310,HS-100572,ACC-2571,cus_100571,Industrias Centeno y Rosario,industrias534,Mid-Market,Automotriz,Pro,Fernanda Solís,Guanajuato,2022-02-13,2023-09-19,churned,4fa0276c7767,2024-08-31,,True,1.0.0
548f9e86aa54,2f2fd459ddca,HS-100375,ACC-2374,cus_100374,Grupo Benavides-Henríquez,grupo939,SMB,Tecnología,Basico,Diego Ortega,CDMX,2023-12-16,2024-03-04,churned,b91952ad0533,2024-08-31,,True,1.0.0
cfb2ad076a93,2f9a572a5bab,HS-100573,ACC-2572,cus_100572,Ulibarri-Pacheco e Hijos,ulibarripach663,SMB,Servicios Financieros,Basico,Jorge Ibarra,Jalisco,2023-09-15,,active,178fe802cd43,2024-08-31,,True,1.0.0
f23483b58343,30c2f0ba4f9f,HS-100400,ACC-2399,cus_100399,Guevara S.A. de C.V.,guevara586,Mid-Market,Construcción,Pro,Luis Peña,Querétaro,2022-06-08,,active,1e61b2a314d4,2024-08-31,,True,1.0.0
