master_id,hubspot_id,segment,acquisition_channel,mrr_mxn,churned,reference_month,asof_month,usage_months_asof,score_momentum,score_mom,score_drawdown,score_tenure,tickets_window_total,tickets_window_urgent,csat_window_avg,activation_score,health_score,risk_band,flagged_10,flagged_15,flagged_20
77c327404c72,HS-100613,Mid-Market,Evento,20750.00,True,2023-03,2023-01,5,4.79,2.05,6.50,25.31,1,1,4.00,78.80,10.65,riesgo alto,True,True,True
062df55dccb8,HS-100126,SMB,Organic,3165.00,True,2023-07,2023-05,6,5.30,0.68,8.46,25.31,0,0,,12.56,10.85,riesgo alto,True,True,True
e96833e2c6bb,HS-100449,SMB,Webinar,5998.00,True,2023-03,2023-01,4,8.03,10.68,11.28,17.31,0,0,,40.77,11.83,riesgo alto,True,True,True
1657dbc3746e,HS-100093,Mid-Market,Outbound SDR,10319.00,True,2023-11,2023-09,5,8.38,1.88,14.87,21.62,3,0,1.00,83.93,12.03,riesgo alto,True,True,True
6d7170e9789b,HS-100024,SMB,Webinar,3973.00,True,2023-10,2023-08,9,2.74,1.54,2.05,35.00,0,0,,36.75,12.07,riesgo alto,True,True,True
f51f42af8a26,HS-100130,SMB,Webinar,2169.00,True,2023-04,2023-02,6,3.93,6.41,5.98,29.08,1,0,4.00,45.73,12.28,riesgo alto,True,True,True
32abb429e0d8,HS-100090,SMB,Organic,3111.00,True,2023-10,2023-08,7,6.32,1.11,14.53,29.08,1,0,2.00,33.08,13.34,riesgo alto,True,True,True
3444de83dd85,HS-100327,Mid-Market,Outbound SDR,18485.00,True,2023-09,2023-07,6,7.18,5.90,14.19,25.31,0,0,,79.66,13.41,riesgo alto,True,True,True
dcf4823a4d63,HS-100614,SMB,Referral,5369.00,True,2023-07,2023-05,9,1.03,3.42,2.74,40.23,1,1,4.00,1.62,13.52,riesgo alto,True,True,True
9eb7a3a6657b,HS-100584,SMB,Organic,6340.00,True,2023-04,2023-02,6,8.55,3.42,15.90,25.31,0,0,,18.46,13.65,riesgo alto,True,True,True
1a1192e17404,HS-100510,Mid-Market,Referral,26814.00,True,2023-09,2023-07,8,4.44,10.68,3.08,32.46,1,0,5.00,73.33,13.89,riesgo alto,True,True,True
c194e3bdfad5,HS-100311,SMB,Evento,7738.00,True,2023-10,2023-08,11,0.68,7.69,0.34,40.23,0,0,,34.70,13.90,riesgo alto,True,True,True
3baa0f55645f,HS-100485,Mid-Market,Partner,10504.00,True,2023-12,2023-10,8,6.67,6.84,3.42,32.46,3,1,2.00,65.30,13.95,riesgo alto,True,True,True
4b51faa01f35,HS-100016,SMB,Outbound SDR,6780.00,True,2023-12,2023-10,4,8.72,19.49,12.14,17.31,0,0,,43.42,13.96,riesgo alto,True,True,True
eb78824cdc91,HS-100187,Mid-Market,Outbound SDR,25817.00,True,2024-02,2023-12,10,1.71,10.68,0.51,37.23,0,0,,61.54,13.98,riesgo alto,True,True,True
21a76877b923,HS-100611,SMB,Partner,8528.00,True,2024-06,2024-04,7,7.69,10.68,3.93,29.08,1,0,1.00,10.26,14.14,riesgo alto,True,True,True
aa6b09af8aaf,HS-100189,SMB,Outbound SDR,5290.00,True,2024-05,2024-03,9,3.76,10.68,1.37,35.00,0,0,,57.61,14.16,riesgo alto,True,True,True
52584d35f5ce,HS-100111,SMB,Referral,7908.00,True,2024-02,2023-12,9,3.42,10.68,2.22,35.00,1,0,,54.27,14.17,riesgo alto,True,True,True
3dec1c7194aa,HS-100117,Mid-Market,Referral,22130.00,True,2024-05,2024-03,12,1.54,0.85,2.91,44.69,0,0,,73.50,14.55,riesgo alto,True,True,True
f7b188c45db9,HS-100023,SMB,Webinar,2004.00,True,2024-01,2023-11,7,7.52,10.68,7.52,29.08,0,0,,46.67,14.62,riesgo alto,True,True,True
598275c8d1e3,HS-100230,Mid-Market,Webinar,13927.00,True,2024-01,2023-11,12,2.39,1.37,1.03,44.69,0,0,,51.28,14.67,riesgo alto,True,True,True
793be83a3632,HS-100005,SMB,Webinar,4787.00,True,2023-10,2023-08,12,2.05,3.42,0.68,44.69,0,0,,44.96,14.91,riesgo alto,True,True,True
03e9e800144c,HS-100545,Mid-Market,Organic,16455.00,True,2023-11,2023-09,7,9.06,5.90,12.48,29.08,0,0,,81.03,14.95,riesgo alto,True,True,True
d23090c83713,HS-100450,SMB,Paid Search,142672.00,True,2024-02,2023-12,10,4.62,7.69,7.01,37.23,1,0,,31.71,15.38,riesgo alto,True,True,True
14e457b52fab,HS-100358,Mid-Market,Outbound SDR,27214.00,True,2023-05,2023-03,7,3.25,4.62,1.88,44.69,2,0,,69.91,15.75,riesgo alto,True,True,True
a93e31f7946a,HS-100579,SMB,Paid Search,6155.00,True,2024-01,2023-11,12,2.22,7.69,0.85,44.69,0,0,,33.68,15.85,riesgo alto,True,True,True
8d5d932b0f9b,HS-100415,Mid-Market,Organic,23105.00,True,2023-12,2023-10,6,8.89,19.83,9.06,25.31,0,0,,66.67,16.03,riesgo alto,True,True,True
d3325cc67acf,HS-100156,SMB,Partner,6636.00,True,2024-02,2023-12,14,0.17,3.42,0.17,51.08,1,0,5.00,5.13,16.09,riesgo alto,True,True,True
589f42a9c63a,HS-100488,SMB,Organic,6477.00,True,2023-10,2023-08,8,6.50,16.92,5.13,32.46,0,0,,20.51,16.17,riesgo alto,True,True,True
dfdbf0b4c7e0,HS-100406,Enterprise,Webinar,65740.00,False,2024-08,2024-06,8,11.97,8.89,10.43,32.46,0,0,,97.95,17.27,riesgo alto,True,True,True
16b237fd6c05,HS-100344,SMB,Partner,5787.00,True,2023-08,2023-06,9,9.91,5.21,16.58,35.00,0,0,,29.83,17.50,riesgo alto,True,True,True
97ee9f62574c,HS-100581,SMB,Webinar,7568.00,True,2023-05,2023-03,7,6.84,7.69,4.79,44.69,1,0,1.00,55.73,18.06,riesgo alto,True,True,True
6bca486a099d,HS-100336,SMB,Organic,2968.00,True,2024-03,2024-01,13,2.56,10.68,3.25,48.54,0,0,,45.30,18.08,riesgo alto,True,True,True
2dee62dca080,HS-100226,SMB,Evento,52669.50,True,2024-06,2024-04,12,5.13,10.68,5.64,44.69,0,0,,25.30,18.18,riesgo alto,True,True,True
02382e1b34e3,HS-100407,SMB,Organic,8437.00,True,2024-05,2024-03,6,10.94,16.92,24.27,25.31,0,0,,35.47,18.45,riesgo alto,True,True,True
7ecb5a47e4a1,HS-100540,SMB,Outbound SDR,2794.00,True,2024-02,2023-12,4,10.26,31.20,23.25,17.31,0,0,,42.82,18.51,riesgo alto,True,True,True
4cfcbde1f51f,HS-100505,Mid-Market,Webinar,19864.00,True,2024-04,2024-02,16,1.37,4.79,1.20,57.31,0,0,,82.22,18.81,riesgo alto,True,True,True
51e97a6e2d0f,HS-100484,Mid-Market,Referral,27728.00,True,2024-02,2023-12,13,7.35,5.64,11.11,48.54,1,0,,69.40,19.93,riesgo alto,True,True,True
4deb4455b182,HS-100429,SMB,Outbound SDR,2694.00,True,2024-04,2024-02,3,9.23,3.42,90.09,12.15,0,0,,11.03,21.07,riesgo alto,True,True,True
32a352c90e42,HS-100319,SMB,Partner,2344.00,True,2024-06,2024-04,3,10.77,3.42,90.09,12.15,0,0,,6.32,21.61,riesgo alto,True,True,True
0c092b55cb21,HS-100637,SMB,Referral,6534.00,True,2024-03,2024-01,13,7.01,3.42,29.23,48.54,0,0,,11.54,22.08,riesgo alto,True,True,True
aad8b8edc903,HS-100269,SMB,Webinar,8952.00,True,2024-02,2023-12,3,10.43,6.41,90.09,12.15,0,0,,15.98,22.09,riesgo alto,True,True,True
62e862d0ba6b,HS-100526,SMB,Referral,8314.00,True,2024-01,2023-11,3,12.31,3.42,90.09,12.15,0,0,,0.17,22.15,riesgo alto,True,True,True
cba7ec6afd2e,HS-100492,Mid-Market,Partner,24022.00,True,2023-01,2022-11,3,9.74,2.22,90.09,17.31,0,0,,80.17,22.56,riesgo alto,True,True,True
87ff09647766,HS-100463,Mid-Market,Organic,11840.00,True,2023-12,2023-10,3,11.79,6.41,90.09,12.15,1,0,3.00,37.78,22.57,riesgo alto,True,True,True
2cd7d67219cc,HS-100521,Mid-Market,Evento,13641.00,True,2024-02,2023-12,16,3.08,4.96,5.30,66.31,2,0,4.00,71.11,22.76,riesgo alto,True,True,True
26ff7d714cea,HS-100270,SMB,Referral,6646.00,True,2023-10,2023-08,12,5.47,16.92,4.53,57.31,0,0,,24.02,23.17,riesgo alto,True,True,True
1ece7b99e449,HS-100120,SMB,Webinar,6821.00,False,2024-08,2024-06,10,15.38,28.03,7.78,37.23,0,0,,21.45,23.32,riesgo alto,True,True,True
79b0014ab30f,HS-100486,Enterprise,Paid Search,57933.00,True,2024-04,2024-02,3,10.60,13.33,90.09,12.15,0,0,,89.40,23.53,riesgo alto,True,True,True
d34f4904aa84,HS-100178,SMB,Referral,3779.00,False,2024-08,2024-06,10,13.85,5.47,43.59,37.23,0,0,,53.59,23.65,riesgo alto,True,True,True
58977cac09cc,HS-100425,SMB,Partner,8163.00,True,2024-04,2024-02,18,1.20,16.92,1.71,66.31,0,0,,44.70,23.95,riesgo alto,True,True,True
c259030f0a56,HS-100321,SMB,Webinar,7043.00,True,2023-10,2023-08,12,3.59,10.68,4.96,66.31,0,0,,46.15,24.03,riesgo alto,True,True,True
5788d992991c,HS-100489,Enterprise,Organic,49955.00,True,2024-06,2024-04,3,11.45,14.53,90.09,12.15,2,0,2.00,90.26,24.07,riesgo alto,True,True,True
94be9c45cdf6,HS-100267,Mid-Market,Referral,23252.00,False,2024-08,2024-06,10,13.68,10.68,40.85,37.23,0,0,,67.35,24.22,riesgo alto,True,True,True
5cb37febc3b4,HS-100222,Mid-Market,Webinar,18000.00,True,2024-05,2024-03,18,5.64,12.31,5.81,63.23,0,0,,85.47,24.28,riesgo alto,True,True,True
fcb92db97bd8,HS-100458,SMB,Partner,7570.00,True,2024-04,2024-02,3,11.11,16.92,90.09,12.15,0,0,,8.72,24.43,riesgo alto,True,True,True
cdd0fe341983,HS-100575,Mid-Market,Outbound SDR,16874.00,True,2024-03,2024-01,17,2.91,6.41,3.93,71.92,1,0,5.00,68.72,24.47,riesgo alto,True,True,True
aa00b58df5b0,HS-100621,SMB,Evento,6694.00,False,2024-08,2024-06,6,12.99,56.07,7.78,25.31,0,0,,22.56,24.52,riesgo alto,True,True,True
92b7a8a7cdc7,HS-100185,SMB,Paid Search,8471.00,False,2024-08,2024-06,12,16.07,7.69,33.59,44.69,0,0,,13.16,25.61,riesgo alto,True,True,True
6eabad2f9e44,HS-100373,SMB,Webinar,7362.00,False,2024-08,2024-06,6,29.23,10.68,40.85,25.31,0,0,,0.77,26.09,riesgo alto,True,True,True
dde4a2325dc6,HS-100506,SMB,Organic,8731.00,True,2024-04,2024-02,18,0.85,3.42,2.39,82.54,0,0,,21.20,26.10,riesgo alto,True,True,True
f60394aa4454,HS-100245,SMB,Evento,6112.00,False,2024-08,2024-06,6,24.96,7.69,55.30,25.31,0,0,,33.93,26.16,riesgo alto,True,True,True
9b86c5d697a4,HS-100242,Enterprise,Organic,85286.00,False,2024-08,2024-06,11,16.24,16.92,35.04,40.23,0,0,,95.90,26.39,riesgo alto,True,True,True
8a1b676db0e4,HS-100433,Mid-Market,Referral,9314.00,False,2024-08,2024-06,10,18.80,27.52,21.37,37.23,1,0,2.00,72.31,26.46,riesgo alto,True,True,True
7964d8b4df3d,HS-100549,SMB,Webinar,2349.00,False,2024-08,2024-06,10,20.51,10.68,40.85,37.23,1,0,3.00,3.76,26.61,riesgo alto,True,True,True
705ac77b56d1,HS-100106,SMB,Organic,6883.00,True,2023-01,2022-11,3,9.49,7.69,90.09,29.08,0,0,,4.87,27.10,riesgo alto,True,True,True
531b08e15995,HS-100081,Mid-Market,Evento,16839.00,False,2024-08,2024-06,15,14.87,15.56,18.63,54.00,0,0,,68.55,27.31,riesgo alto,True,True,True
e622c23e2951,HS-100435,SMB,Paid Search,2677.00,False,2024-08,2024-06,19,12.48,10.68,6.32,66.31,0,0,,22.22,27.34,riesgo alto,True,True,True
0196867379d8,HS-100062,SMB,Outbound SDR,7255.00,False,2024-08,2024-06,3,21.71,14.02,90.09,12.15,0,0,,22.05,27.56,riesgo alto,True,True,True
67298e35c7b4,HS-100481,Mid-Market,Outbound SDR,12779.00,False,2024-08,2024-06,16,15.73,8.55,21.11,57.31,0,0,,59.66,27.58,riesgo alto,True,True,True
d0cc2b9c1ce9,HS-100507,Enterprise,Outbound SDR,46340.00,False,2024-08,2024-06,4,23.08,14.36,76.92,17.31,1,0,,91.11,27.68,riesgo alto,True,True,True
bee384ef88de,HS-100158,Mid-Market,Evento,24245.00,False,2024-08,2024-06,4,26.50,12.99,70.85,17.31,0,0,,67.01,27.69,riesgo alto,True,True,True
2f26a0da0310,HS-100572,Mid-Market,Outbound SDR,22013.00,True,2023-09,2023-07,11,6.15,29.06,7.18,63.23,1,0,,72.14,28.01,riesgo alto,True,True,True
a565c66b9bc6,HS-100517,SMB,Webinar,143153.00,False,2024-08,2024-06,9,25.64,25.04,24.87,35.00,0,0,,18.80,28.21,riesgo alto,True,True,True
785078eeba1d,HS-100320,SMB,Webinar,3752.00,False,2024-08,2024-06,7,19.66,56.07,20.26,29.08,0,0,,9.66,29.86,riesgo alto,True,True,True
d591a4e10426,HS-100568,SMB,Partner,3844.00,False,2024-08,2024-06,9,19.15,56.07,9.74,35.00,0,0,,3.76,29.88,riesgo alto,True,True,True
cced8c3d305b,HS-100137,SMB,Outbound SDR,3073.00,False,2024-08,2024-06,6,25.30,39.49,38.55,25.31,0,0,,49.40,30.13,riesgo alto,True,True,True
76bafd451e9e,HS-100197,Mid-Market,Evento,13005.00,False,2024-08,2024-06,12,15.21,47.44,12.82,44.69,0,0,,83.42,30.14,riesgo alto,True,True,True
6853f3d6a4dc,HS-100259,Mid-Market,Partner,23997.00,False,2024-08,2024-06,15,15.56,12.82,39.66,54.00,0,0,,72.48,30.16,riesgo alto,True,True,True
d8cba4a1d43d,HS-100522,SMB,Referral,7771.00,True,2023-01,2022-11,3,9.49,7.69,90.09,40.23,0,0,,9.15,30.44,riesgo alto,True,True,True
aa269e39c32a,HS-100272,Mid-Market,Partner,12717.00,False,2024-08,2024-06,9,24.79,43.50,19.83,35.00,0,0,,62.05,30.85,riesgo alto,True,True,True
d7f2491cbf17,HS-100480,SMB,Paid Search,6092.00,False,2024-08,2024-06,7,21.03,56.07,24.87,29.08,0,0,,19.66,31.03,riesgo alto,True,True,True
517840039522,HS-100160,Mid-Market,Evento,15527.00,False,2024-08,2024-06,11,24.62,31.20,27.52,40.23,1,0,1.00,72.99,31.05,riesgo alto,True,True,True
f43c5b31b192,HS-100194,Mid-Market,Partner,12115.00,False,2024-08,2024-06,16,20.17,26.24,12.14,57.31,1,0,1.00,61.20,31.32,riesgo alto,True,True,True
b16fd3de8400,HS-100205,Mid-Market,Paid Search,10723.00,False,2024-08,2024-06,16,17.95,13.68,34.19,57.31,0,0,,69.74,31.34,riesgo alto,True,True,True
295d85bd00ea,HS-100405,SMB,Outbound SDR,4626.00,False,2024-08,2024-06,15,22.39,15.13,30.09,54.00,0,0,,42.82,31.58,riesgo alto,True,True,True
766e960f8f0e,HS-100146,SMB,Referral,4636.00,False,2024-08,2024-06,10,17.61,56.07,21.11,37.23,0,0,,30.94,31.71,riesgo alto,True,True,True
dcbec6838ba3,HS-100585,Mid-Market,Paid Search,23993.00,False,2024-08,2024-06,18,18.97,15.38,20.26,63.23,0,0,,66.50,31.72,riesgo alto,True,True,True
3d9c9189ef8b,HS-100423,SMB,Evento,3511.00,False,2024-08,2024-06,18,14.53,25.04,18.12,63.23,0,0,,29.83,31.78,riesgo alto,True,True,True
838250379fa3,HS-100333,SMB,Evento,2781.00,False,2024-08,2024-06,11,29.40,7.69,55.30,40.23,1,0,,7.44,32.19,riesgo alto,True,True,True
4dfb9ec0ce11,HS-100248,Enterprise,Partner,29245.00,False,2024-08,2024-06,6,31.62,47.69,27.35,25.31,1,0,2.00,89.74,32.30,riesgo alto,True,True,True
701a7145499e,HS-100462,Mid-Market,Partner,15981.00,False,2024-08,2024-06,3,26.67,29.57,90.09,12.15,0,0,,58.12,32.41,riesgo alto,True,True,True
0950a3eaca02,HS-100340,SMB,Evento,6326.00,False,2024-08,2024-06,18,20.85,10.68,27.86,63.23,1,0,2.00,25.30,32.58,riesgo alto,True,True,True
9d8fc5e5d801,HS-100207,SMB,Referral,3765.00,False,2024-08,2024-06,6,30.26,25.04,62.65,25.31,0,0,,50.09,32.59,riesgo alto,True,True,True
d0d1124d8f9a,HS-100359,Enterprise,Evento,54755.00,False,2024-08,2024-06,17,11.28,48.72,6.84,60.15,0,0,,99.66,32.76,riesgo alto,True,True,True
92f4e669bfdd,HS-100554,Mid-Market,Partner,22464.00,False,2024-08,2024-06,8,31.97,9.06,67.86,32.46,0,0,,77.09,32.92,riesgo alto,True,True,True
cd022db07256,HS-100617,SMB,Organic,7540.00,False,2024-08,2024-06,7,31.28,22.56,58.63,29.08,1,0,3.00,56.84,32.98,riesgo alto,True,True,True
6dd0a835084b,HS-100214,SMB,Referral,4660.00,False,2024-08,2024-06,3,34.02,22.56,90.09,12.15,0,0,,55.56,33.58,riesgo alto,True,True,True
9ce98b1e53c8,HS-100422,Mid-Market,Referral,14247.00,False,2024-08,2024-06,11,26.84,33.59,37.26,40.23,0,0,,68.03,33.77,riesgo alto,True,True,True
0b632556c614,HS-100134,SMB,Webinar,2721.00,False,2024-08,2024-06,3,40.51,13.16,90.09,12.15,0,0,,36.07,33.97,riesgo alto,True,True,True
c82c8b5945bb,HS-100598,SMB,Paid Search,6483.00,False,2024-08,2024-06,7,26.32,56.07,32.14,29.08,0,0,,13.33,33.97,riesgo alto,True,True,True
ebaae71bb69b,HS-100650,SMB,Partner,2332.00,False,2024-08,2024-06,4,40.00,31.20,58.63,17.31,0,0,,50.34,34.23,riesgo alto,True,True,True
5ad0321274f2,HS-100164,SMB,Paid Search,3557.00,False,2024-08,2024-06,9,32.99,14.02,64.27,35.00,0,0,,38.12,34.49,riesgo alto,True,True,True
a1b6591a36c2,HS-100426,SMB,Referral,5748.00,False,2024-08,2024-06,4,48.21,21.28,55.30,17.31,1,0,,7.44,34.62,riesgo alto,True,True,True
d3d6430ce9c4,HS-100028,SMB,Paid Search,2524.00,False,2024-08,2024-06,5,28.89,56.07,46.41,21.62,0,0,,27.44,34.77,riesgo alto,True,True,True
9aab1444c5d3,HS-100041,SMB,Referral,6785.00,False,2024-08,2024-06,15,17.44,26.84,47.69,54.00,0,0,,57.26,34.83,riesgo alto,True,True,True
7c9b0514c9d6,HS-100132,SMB,Outbound SDR,4850.00,False,2024-08,2024-06,6,29.06,37.86,65.30,25.31,0,0,,52.56,35.13,riesgo alto,True,True,True
6e00c339a03e,HS-100332,Mid-Market,Paid Search,22287.00,False,2024-08,2024-06,22,10.09,12.65,8.21,93.31,2,1,4.00,86.32,35.29,riesgo alto,True,True,True
7c99b8a3ebf7,HS-100392,SMB,Outbound SDR,8336.00,False,2024-08,2024-06,3,35.21,29.06,90.09,12.15,0,0,,50.68,35.29,riesgo alto,True,True,True
1db97fc7c4a3,HS-100208,Mid-Market,Outbound SDR,24945.00,False,2024-08,2024-06,18,17.09,19.49,43.25,63.23,0,0,,59.06,35.34,riesgo alto,False,True,True
78fc9da31292,HS-100323,Mid-Market,Evento,14175.00,False,2024-08,2024-06,19,17.78,37.44,11.62,66.31,1,0,,80.34,35.35,riesgo alto,False,True,True
4566eb75d1d3,HS-100622,SMB,Partner,8104.00,False,2024-08,2024-06,3,42.56,16.92,90.09,12.15,0,0,,5.30,35.44,riesgo alto,False,True,True
3f8121a01f52,HS-100065,SMB,Referral,2947.00,False,2024-08,2024-06,11,36.75,16.92,48.29,40.23,0,0,,7.78,35.56,riesgo alto,False,True,True
2f9a572a5bab,HS-100573,SMB,Referral,6864.00,False,2024-08,2024-06,10,38.80,19.49,46.15,37.23,0,0,,53.16,35.57,riesgo alto,False,True,True
2abb19d06446,HS-100012,Enterprise,Outbound SDR,42392.00,False,2024-08,2024-06,12,28.38,29.91,42.05,44.69,0,0,,94.70,35.63,riesgo alto,False,True,True
780a87c8c2a0,HS-100191,SMB,Paid Search,4663.00,False,2024-08,2024-06,18,13.16,56.07,8.89,63.23,0,0,,37.61,36.12,riesgo alto,False,True,True
59a59dbb5c8d,HS-100548,Mid-Market,Partner,12941.00,False,2024-08,2024-06,5,37.44,24.10,78.12,21.62,0,0,,79.32,36.13,riesgo alto,False,True,True
03ba89cf14b9,HS-100273,Mid-Market,Paid Search,12858.00,False,2024-08,2024-06,22,14.36,21.28,14.70,82.54,1,0,,55.90,36.25,riesgo alto,False,True,True
9d663f9ec56a,HS-100408,SMB,Organic,7584.00,False,2024-08,2024-06,19,25.13,10.68,36.24,66.31,0,0,,4.87,36.26,riesgo alto,False,True,True
967e6f7023fc,HS-100523,Enterprise,Organic,70544.00,False,2024-08,2024-06,17,16.58,45.98,22.22,60.15,1,0,5.00,97.78,36.38,riesgo alto,False,True,True
9407c3c1d5b4,HS-100231,Mid-Market,Webinar,21843.00,False,2024-08,2024-06,5,33.85,42.48,63.76,21.62,2,0,1.50,64.10,36.39,riesgo alto,False,True,True
267f7ba8567b,HS-100155,Enterprise,Webinar,952602.00,False,2024-08,2024-06,9,37.61,41.37,31.11,35.00,1,0,2.00,98.97,36.60,riesgo alto,False,True,True
37211eeb762c,HS-100624,SMB,Outbound SDR,3694.00,False,2024-08,2024-06,5,41.71,23.85,76.15,21.62,1,0,1.00,47.52,37.28,riesgo alto,False,True,True
3ed1dd022bbe,HS-100503,SMB,Evento,5281.00,False,2024-08,2024-06,12,27.18,40.85,42.22,44.69,1,0,3.00,60.77,37.42,riesgo alto,False,True,True
fa963456da9c,HS-100558,SMB,Webinar,8904.00,False,2024-08,2024-06,20,22.91,25.04,24.87,68.92,0,0,,14.87,37.43,riesgo alto,False,True,True
772649d900e7,HS-100186,Mid-Market,Partner,22794.00,False,2024-08,2024-06,3,37.95,35.56,90.09,12.15,0,0,,74.70,37.55,riesgo alto,False,True,True
794d03d90ea6,HS-100087,Mid-Market,Outbound SDR,17943.00,False,2024-08,2024-06,22,11.62,46.24,6.15,78.54,0,0,,63.33,37.80,riesgo alto,False,True,True
48633a3c243e,HS-100052,Mid-Market,Outbound SDR,10664.00,False,2024-08,2024-06,7,36.41,42.74,53.68,29.08,0,0,,78.97,38.07,riesgo alto,False,True,True
73791fb3cf09,HS-100557,SMB,Evento,5892.00,False,2024-08,2024-06,14,23.59,25.04,64.27,51.08,1,0,1.00,17.44,38.23,riesgo alto,False,True,True
b898e16bae56,HS-100434,SMB,Evento,7349.00,False,2024-08,2024-06,18,21.37,39.49,27.18,63.23,0,0,,54.02,38.42,riesgo alto,False,True,True
5ca575bf5963,HS-100317,SMB,Outbound SDR,4857.00,False,2024-08,2024-06,11,30.94,56.07,29.23,40.23,0,0,,14.44,38.50,riesgo alto,False,True,True
de3394369082,HS-100430,SMB,Referral,3158.00,False,2024-08,2024-06,13,22.22,56.07,33.59,48.54,0,0,,6.84,38.59,riesgo alto,False,True,True
5aadc6d9beb8,HS-100140,Enterprise,Referral,89122.00,False,2024-08,2024-06,12,24.44,64.27,26.15,44.69,0,0,,97.26,38.74,riesgo alto,False,True,True
b8ff0ac62b88,HS-100473,SMB,Referral,3664.00,False,2024-08,2024-06,8,41.03,56.07,23.25,32.46,0,0,,32.22,38.80,riesgo alto,False,True,True
1fca191b2c4a,HS-100496,SMB,Paid Search,2865.00,False,2024-08,2024-06,4,33.33,56.07,72.91,17.31,1,0,1.00,40.43,39.01,riesgo alto,False,True,True
7673a68d1cc4,HS-100011,SMB,Webinar,3401.00,False,2024-08,2024-06,18,21.88,56.07,9.74,63.23,1,0,4.00,6.84,39.30,riesgo medio,False,False,True
ca4b97d0cb79,HS-100026,Mid-Market,Webinar,22865.00,False,2024-08,2024-06,3,42.74,37.26,90.09,12.15,1,0,3.00,82.05,39.57,riesgo medio,False,False,True
13d2b5cf6ea2,HS-100228,SMB,Partner,4317.00,False,2024-08,2024-06,22,23.25,10.68,23.25,86.15,1,0,2.00,33.08,39.61,riesgo medio,False,False,True
0d6202950750,HS-100152,SMB,Organic,4594.00,False,2024-08,2024-06,9,34.53,56.07,39.40,35.00,2,0,,40.17,39.71,riesgo medio,False,False,True
12031a79d1d3,HS-100460,SMB,Partner,5011.00,False,2024-08,2024-06,16,23.76,56.07,20.26,57.31,0,0,,4.27,39.76,riesgo medio,False,False,True
d6e7796e9cfc,HS-100334,SMB,Paid Search,3929.00,False,2024-08,2024-06,10,37.26,56.07,29.23,37.23,0,0,,14.44,39.81,riesgo medio,False,False,True
247338856c13,HS-100138,Mid-Market,Organic,16841.00,False,2024-08,2024-06,9,43.08,32.99,51.28,35.00,0,0,,81.71,39.87,riesgo medio,False,False,True
2856f6708652,HS-100387,SMB,Evento,136733.50,False,2024-08,2024-06,8,45.30,16.92,72.91,32.46,0,0,,34.36,39.91,riesgo medio,False,False,True
b7214f7de0d2,HS-100515,SMB,Evento,8934.00,False,2024-08,2024-06,13,28.03,56.07,29.23,48.54,1,0,,8.29,39.97,riesgo medio,False,False,True
b11ab648f308,HS-100615,Mid-Market,Evento,27514.00,False,2024-08,2024-06,3,33.50,56.07,90.09,12.15,0,0,,74.87,40.10,riesgo medio,False,False,True
04887d0f3f7c,HS-100607,SMB,Webinar,8566.00,False,2024-08,2024-06,21,16.75,56.07,9.74,71.92,2,0,5.00,19.15,40.11,riesgo medio,False,False,True
36fd3dae4ce6,HS-100078,SMB,Webinar,8565.00,False,2024-08,2024-06,20,27.69,26.84,29.23,68.92,1,0,,41.11,40.12,riesgo medio,False,False,True
