hubspot_id,company_name,domain,mrr,currency,signup_date,churn_date,reason_code,survivor_hubspot_id,survivor_master_id,evidence_json,ruleset_version,decided_at
HS-900014,Tijerina y Laboy S.C. SA DE CV,tijerina909.com.mx,,MXN,2022-07-04,2023-07-20,duplicate_company_clone,HS-100614,dcf4823a4d63,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900015,CORPORACIN CARRERO-DURÁN,corporacin580.com.mx,,MXN,2024-02-14,2024-04-17,duplicate_company_clone,HS-100203,3a6d440d0d78,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900016,Industrias Bétancourt y Sisneros SA DE CV,industrias348.com.mx,,MXN,2022-11-04,,duplicate_company_clone,HS-100263,87418077620e,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900017,Pulido-Olivárez SA DE CV,pulidoolivár463.com.mx,,MXN,2022-09-03,,duplicate_company_clone,HS-100223,68f66e743a15,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900018,Correa-Garibay SA DE CV,correagariba125.com.mx,,MXN,2023-01-19,,duplicate_company_clone,HS-100250,a1baa2e417d2,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900019,BRITO-ALVARADO,britoalvarad564.com.mx,,MXN,2022-08-26,,duplicate_company_clone,HS-100110,9690176b3350,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900020,CLUB GONZÁLEZ-JASSO,club271.com.mx,,MXN,2022-08-20,,duplicate_company_clone,HS-100606,e19569d925d2,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900021,Zapata-Moreno SA DE CV,zapatamoreno696.com.mx,,MXN,2022-04-03,2023-05-20,duplicate_company_clone,HS-100358,14e457b52fab,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900022,"CLUB MARRERO, GUZMÁN Y VELA",club423.com.mx,,MXN,2023-06-22,,duplicate_company_clone,HS-100376,f189adcdf97f,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900023,GIL S.A.,gil910.com.mx,,MXN,2023-04-10,,duplicate_company_clone,HS-100593,ed0225bd89c5,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900024,Amaya y Vázquez y Asociados SA DE CV,amaya21.com.mx,,MXN,2023-07-01,,duplicate_company_clone,HS-100519,f3488af55845,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900025,POLANCO-TERÁN E HIJOS,polancoterán45.com.mx,,MXN,2022-02-26,,duplicate_company_clone,HS-100147,6e9112a3a693,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900026,Corporacin Ruelas-Feliciano SA DE CV,corporacin441.com.mx,,MXN,2023-04-15,,duplicate_company_clone,HS-100192,b24de45006f0,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
HS-900027,"Tejada, Cortez y León SA DE CV",tejada989.com.mx,,MXN,2023-02-19,,duplicate_company_clone,HS-100546,78e777fdb583,"{""mrr_is_null"":true,""name_norm_equal"":true,""referenced_by_accounts"":false}",1.0.0,2024-08-31
