master_id,hubspot_id,account_id,vitally_id,account_match_tier,vitally_match_tier,confidence_tier,resolved_at,ruleset_version
1657dbc3746e,HS-100093,ACC-2092,cus_100092,T0,T1,T1,2024-08-31,1.0.0
167708133e90,HS-100482,ACC-2481,cus_100481,T0,T1,T1,2024-08-31,1.0.0
16b237fd6c05,HS-100344,ACC-2343,cus_100343,T0,T1,T1,2024-08-31,1.0.0
16c951b00315,HS-100060,ACC-2059,cus_100059,T0,T1,T1,2024-08-31,1.0.0
179d97e50dff,HS-100135,ACC-2134,cus_100134,T0,T1,T1,2024-08-31,1.0.0
17ad157b6ec9,HS-100239,ACC-2238,cus_100238,T0,T1,T1,2024-08-31,1.0.0
183da402db0f,HS-100246,ACC-2245,cus_100245,T0,T1,T1,2024-08-31,1.0.0
190a2d8a76a2,HS-100385,ACC-2384,cus_100384,T0,T1,T1,2024-08-31,1.0.0
19e40842726a,HS-100282,ACC-2281,cus_100281,T0,T1,T1,2024-08-31,1.0.0
1a1192e17404,HS-100510,ACC-2509,cus_100509,T2,T1,T2,2024-08-31,1.0.0
1a38af8fa679,HS-100446,ACC-2445,cus_100445,T0,T1,T1,2024-08-31,1.0.0
1b589de854cd,HS-100298,ACC-2297,cus_100297,T2,T1,T2,2024-08-31,1.0.0
1c09f8474886,HS-100465,ACC-2464,cus_100464,T0,T1,T1,2024-08-31,1.0.0
1cf6a4e18b6f,HS-100410,ACC-2409,cus_100409,T0,T1,T1,2024-08-31,1.0.0
1d87384d7c5c,HS-100118,ACC-2117,cus_100117,T0,T1,T1,2024-08-31,1.0.0
1db97fc7c4a3,HS-100208,ACC-2207,cus_100207,T0,T1,T1,2024-08-31,1.0.0
1e08214c6d84,HS-100397,ACC-2396,cus_100396,T0,T1,T1,2024-08-31,1.0.0
1e6e8393975f,HS-100587,ACC-2586,cus_100586,T0,T1,T1,2024-08-31,1.0.0
1e79ff8dda47,HS-100357,ACC-2356,cus_100356,T0,T1,T1,2024-08-31,1.0.0
1ece7b99e449,HS-100120,ACC-2119,cus_100119,T0,T1,T1,2024-08-31,1.0.0
1f5adba0a272,HS-100564,ACC-2563,cus_100563,T0,T1,T1,2024-08-31,1.0.0
1fca191b2c4a,HS-100496,ACC-2495,cus_100495,T0,T1,T1,2024-08-31,1.0.0
201dacb5b332,HS-100122,ACC-2121,cus_100121,T0,T1,T1,2024-08-31,1.0.0
2046e13bb328,HS-100109,ACC-2108,cus_100108,T0,T1,T1,2024-08-31,1.0.0
20e77f6284f1,HS-100312,ACC-2311,cus_100311,T0,T1,T1,2024-08-31,1.0.0
20eb324cdfc6,HS-100220,ACC-2219,cus_100219,T0,T1,T1,2024-08-31,1.0.0
216e100a95ab,HS-100261,ACC-2260,cus_100260,T2,T1,T2,2024-08-31,1.0.0
21a76877b923,HS-100611,ACC-2610,cus_100610,T0,T1,T1,2024-08-31,1.0.0
21f411028416,HS-100169,ACC-2168,cus_100168,T0,T1,T1,2024-08-31,1.0.0
22b962d9afed,HS-100620,ACC-2619,cus_100619,T0,T1,T1,2024-08-31,1.0.0
237b3e09b789,HS-100349,ACC-2348,cus_100348,T0,T1,T1,2024-08-31,1.0.0
2472eb83ec96,HS-100640,ACC-2639,cus_100639,T0,T1,T1,2024-08-31,1.0.0
247338856c13,HS-100138,ACC-2137,cus_100137,T0,T1,T1,2024-08-31,1.0.0
25de70f28a81,HS-100354,ACC-2353,cus_100353,T0,T1,T1,2024-08-31,1.0.0
25f129ce4fc4,HS-100442,ACC-2441,cus_100441,T0,T1,T1,2024-08-31,1.0.0
267f7ba8567b,HS-100155,ACC-2154,cus_100154,T0,T1,T1,2024-08-31,1.0.0
26ff7d714cea,HS-100270,ACC-2269,cus_100269,T0,T1,T1,2024-08-31,1.0.0
279ab800ac35,HS-100550,ACC-2549,cus_100549,T0,T1,T1,2024-08-31,1.0.0
2856f6708652,HS-100387,ACC-2386,cus_100386,T0,T1,T1,2024-08-31,1.0.0
289073814fdb,HS-100469,ACC-2468,cus_100468,T0,T1,T1,2024-08-31,1.0.0
28e7c24cd4cb,HS-100629,ACC-2628,cus_100628,T2,T1,T2,2024-08-31,1.0.0
295d85bd00ea,HS-100405,ACC-2404,cus_100404,T0,T1,T1,2024-08-31,1.0.0
29972f42dfdd,HS-100342,ACC-2341,cus_100341,T0,T1,T1,2024-08-31,1.0.0
29c00e13c4e6,HS-100219,ACC-2218,cus_100218,T0,T1,T1,2024-08-31,1.0.0
2abb19d06446,HS-100012,ACC-2011,cus_100011,T0,T1,T1,2024-08-31,1.0.0
2b4be83e1c60,HS-100116,ACC-2115,cus_100115,T0,T1,T1,2024-08-31,1.0.0
2c29d4cb2989,HS-100520,ACC-2519,cus_100519,T0,T1,T1,2024-08-31,1.0.0
2c678f4bf9d9,HS-100451,ACC-2450,cus_100450,T0,T1,T1,2024-08-31,1.0.0
2cc32419a667,HS-100009,ACC-2008,cus_100008,T0,T1,T1,2024-08-31,1.0.0
2cd7d67219cc,HS-100521,ACC-2520,cus_100520,T0,T1,T1,2024-08-31,1.0.0
2d38af661686,HS-100123,ACC-2122,cus_100122,T0,T1,T1,2024-08-31,1.0.0
2dee62dca080,HS-100226,ACC-2225,cus_100225,T0,T1,T1,2024-08-31,1.0.0
2e1dc645f108,HS-100240,ACC-2239,cus_100239,T0,T1,T1,2024-08-31,1.0.0
2e313ecc9f06,HS-100610,ACC-2609,cus_100609,T0,T1,T1,2024-08-31,1.0.0
2f23ed120ca5,HS-100352,ACC-2351,cus_100351,T0,T1,T1,2024-08-31,1.0.0
2f26a0da0310,HS-100572,ACC-2571,cus_100571,T0,T1,T1,2024-08-31,1.0.0
2f2fd459ddca,HS-100375,ACC-2374,cus_100374,T0,T1,T1,2024-08-31,1.0.0
2f9a572a5bab,HS-100573,ACC-2572,cus_100572,T0,T1,T1,2024-08-31,1.0.0
30c2f0ba4f9f,HS-100400,ACC-2399,cus_100399,T0,T1,T1,2024-08-31,1.0.0
3280fc910c85,HS-100144,ACC-2143,cus_100143,T0,T1,T1,2024-08-31,1.0.0
32a352c90e42,HS-100319,ACC-2318,cus_100318,T2,T1,T2,2024-08-31,1.0.0
32abb429e0d8,HS-100090,ACC-2089,cus_100089,T0,T1,T1,2024-08-31,1.0.0
338f32670f98,HS-100399,ACC-2398,cus_100398,T0,T1,T1,2024-08-31,1.0.0
3444de83dd85,HS-100327,ACC-2326,cus_100326,T0,T1,T1,2024-08-31,1.0.0
34932df15d7b,HS-100361,ACC-2360,cus_100360,T0,T1,T1,2024-08-31,1.0.0
3499a7868775,HS-100148,ACC-2147,cus_100147,T0,T1,T1,2024-08-31,1.0.0
34a9ffde0fc0,HS-100107,ACC-2106,cus_100106,T2,T1,T2,2024-08-31,1.0.0
34c5037c1d22,HS-100198,ACC-2197,cus_100197,T2,T1,T2,2024-08-31,1.0.0
34fc60602415,HS-100618,ACC-2617,cus_100617,T0,T1,T1,2024-08-31,1.0.0
35f7ee11ef6a,HS-100286,ACC-2285,cus_100285,T0,T1,T1,2024-08-31,1.0.0
368a3f9d6514,HS-100525,ACC-2524,cus_100524,T0,T1,T1,2024-08-31,1.0.0
36fd3dae4ce6,HS-100078,ACC-2077,cus_100077,T0,T1,T1,2024-08-31,1.0.0
37211eeb762c,HS-100624,ACC-2623,cus_100623,T0,T1,T1,2024-08-31,1.0.0
375bde6ba88f,HS-100483,ACC-2482,cus_100482,T0,T1,T1,2024-08-31,1.0.0
3764f7701b9c,HS-100099,ACC-2098,cus_100098,T0,T1,T1,2024-08-31,1.0.0
37d67f0e2f52,HS-100057,ACC-2056,cus_100056,T0,T1,T1,2024-08-31,1.0.0
392bdeef86e1,HS-100360,ACC-2359,cus_100359,T0,T1,T1,2024-08-31,1.0.0
396128940af3,HS-100174,ACC-2173,cus_100173,T0,T1,T1,2024-08-31,1.0.0
3967f5213479,HS-100597,ACC-2596,cus_100596,T0,T1,T1,2024-08-31,1.0.0
3a6d440d0d78,HS-100203,ACC-2202,cus_100202,T0,T1,T1,2024-08-31,1.0.0
3af530a7679a,HS-100638,ACC-2637,cus_100637,T2,T1,T2,2024-08-31,1.0.0
3b117610596f,HS-100326,ACC-2325,cus_100325,T0,T1,T1,2024-08-31,1.0.0
3b4b11aa5621,HS-100291,ACC-2290,cus_100290,T0,T1,T1,2024-08-31,1.0.0
3baa0f55645f,HS-100485,ACC-2484,cus_100484,T0,T1,T1,2024-08-31,1.0.0
3d3cf29f1b67,HS-100095,ACC-2094,cus_100094,T0,T1,T1,2024-08-31,1.0.0
3d464b2bd5fe,HS-100518,ACC-2517,cus_100517,T0,T1,T1,2024-08-31,1.0.0
3d9c9189ef8b,HS-100423,ACC-2422,cus_100422,T0,T1,T1,2024-08-31,1.0.0
3dc38ff1f062,HS-100058,ACC-2057,cus_100057,T0,T1,T1,2024-08-31,1.0.0
3dec1c7194aa,HS-100117,ACC-2116,cus_100116,T0,T1,T1,2024-08-31,1.0.0
3e0310fe6b93,HS-100555,ACC-2554,cus_100554,T0,T1,T1,2024-08-31,1.0.0
3e0eaa7298aa,HS-100284,ACC-2283,cus_100283,T0,T1,T1,2024-08-31,1.0.0
3ed1dd022bbe,HS-100503,ACC-2502,cus_100502,T0,T1,T1,2024-08-31,1.0.0
3f41a4432bea,HS-100280,ACC-2279,cus_100279,T0,T1,T1,2024-08-31,1.0.0
3f52261ca656,HS-100188,ACC-2187,cus_100187,T0,T1,T1,2024-08-31,1.0.0
3f8121a01f52,HS-100065,ACC-2064,cus_100064,T0,T1,T1,2024-08-31,1.0.0
3f9a1cc61de5,HS-100055,ACC-2054,cus_100054,T0,T1,T1,2024-08-31,1.0.0
4036aa344034,HS-100149,ACC-2148,cus_100148,T0,T1,T1,2024-08-31,1.0.0
40cbcd1a5e9b,HS-100524,ACC-2523,cus_100523,T0,T1,T1,2024-08-31,1.0.0
4140e64c6083,HS-100371,ACC-2370,cus_100370,T0,T1,T1,2024-08-31,1.0.0
4196ef66325f,HS-100086,ACC-2085,cus_100085,T0,T1,T1,2024-08-31,1.0.0
419e91f90223,HS-100172,ACC-2171,cus_100171,T0,T1,T1,2024-08-31,1.0.0
41c9fae6089e,HS-100307,ACC-2306,cus_100306,T0,T1,T1,2024-08-31,1.0.0
41d822af890b,HS-100056,ACC-2055,cus_100055,T0,T1,T1,2024-08-31,1.0.0
4241a3ce2f40,HS-100003,ACC-2002,cus_100002,T0,T1,T1,2024-08-31,1.0.0
43aa39bba634,HS-100163,ACC-2162,cus_100162,T0,T1,T1,2024-08-31,1.0.0
446b01c1b10d,HS-100066,ACC-2065,cus_100065,T0,T1,T1,2024-08-31,1.0.0
454a653ec9a9,HS-100560,ACC-2559,cus_100559,T0,T1,T1,2024-08-31,1.0.0
4566eb75d1d3,HS-100622,ACC-2621,cus_100621,T2,T1,T2,2024-08-31,1.0.0
47165a293fc0,HS-100238,ACC-2237,cus_100237,T0,T1,T1,2024-08-31,1.0.0
4748fb3a478f,HS-100542,ACC-2541,cus_100541,T0,T1,T1,2024-08-31,1.0.0
4852e6665bc7,HS-100516,ACC-2515,cus_100515,T2,T1,T2,2024-08-31,1.0.0
48633a3c243e,HS-100052,ACC-2051,cus_100051,T0,T1,T1,2024-08-31,1.0.0
48c20dcf6fe4,HS-100619,ACC-2618,cus_100618,T0,T1,T1,2024-08-31,1.0.0
48fddc0a1679,HS-100315,ACC-2314,cus_100314,T0,T1,T1,2024-08-31,1.0.0
49ce3285ee46,HS-100646,ACC-2645,cus_100645,T0,T1,T1,2024-08-31,1.0.0
49ecd60b845c,HS-100079,ACC-2078,cus_100078,T0,T1,T1,2024-08-31,1.0.0
4ad2695790da,HS-100381,ACC-2380,cus_100380,T0,T1,T1,2024-08-31,1.0.0
4b4752da4a83,HS-100096,ACC-2095,cus_100095,T2,T1,T2,2024-08-31,1.0.0
4b51faa01f35,HS-100016,ACC-2015,cus_100015,T0,T1,T1,2024-08-31,1.0.0
4b99f2dd30ed,HS-100076,ACC-2075,cus_100075,T2,T1,T2,2024-08-31,1.0.0
4bf97be2706d,HS-100369,ACC-2368,cus_100368,T2,T1,T2,2024-08-31,1.0.0
4bfe1795911a,HS-100075,ACC-2074,cus_100074,T0,T1,T1,2024-08-31,1.0.0
4cdf5b9fe3a4,HS-100534,ACC-2533,cus_100533,T0,T1,T1,2024-08-31,1.0.0
4cfcbde1f51f,HS-100505,ACC-2504,cus_100504,T0,T1,T1,2024-08-31,1.0.0
4deb4455b182,HS-100429,ACC-2428,cus_100428,T0,T1,T1,2024-08-31,1.0.0
4dfb9ec0ce11,HS-100248,ACC-2247,cus_100247,T0,T1,T1,2024-08-31,1.0.0
5020089d9965,HS-100168,ACC-2167,cus_100167,T0,T1,T1,2024-08-31,1.0.0
50de7a632ea8,HS-100288,ACC-2287,cus_100287,T0,T1,T1,2024-08-31,1.0.0
517840039522,HS-100160,ACC-2159,cus_100159,T0,T1,T1,2024-08-31,1.0.0
51a517c1a25b,HS-100309,ACC-2308,cus_100308,T0,T1,T1,2024-08-31,1.0.0
51b8827af99f,HS-100002,ACC-2001,cus_100001,T0,T1,T1,2024-08-31,1.0.0
51e97a6e2d0f,HS-100484,ACC-2483,cus_100483,T0,T1,T1,2024-08-31,1.0.0
5205e01e1434,HS-100027,ACC-2026,cus_100026,T0,T1,T1,2024-08-31,1.0.0
5211255cc108,HS-100468,ACC-2467,cus_100467,T0,T1,T1,2024-08-31,1.0.0
523ef10f815e,HS-100077,ACC-2076,cus_100076,T0,T1,T1,2024-08-31,1.0.0
52584d35f5ce,HS-100111,ACC-2110,cus_100110,T0,T1,T1,2024-08-31,1.0.0
5284a262a4a1,HS-100018,ACC-2017,cus_100017,T0,T1,T1,2024-08-31,1.0.0
531b08e15995,HS-100081,ACC-2080,cus_100080,T0,T1,T1,2024-08-31,1.0.0
5382574560dc,HS-100535,ACC-2534,cus_100534,T0,T1,T1,2024-08-31,1.0.0
538f62518bf7,HS-100448,ACC-2447,cus_100447,T0,T1,T1,2024-08-31,1.0.0
53f68810a2c7,HS-100533,ACC-2532,cus_100532,T0,T1,T1,2024-08-31,1.0.0
5469ca09097a,HS-100467,ACC-2466,cus_100466,T0,T1,T1,2024-08-31,1.0.0
548b90cb0018,HS-100508,ACC-2507,cus_100507,T0,T1,T1,2024-08-31,1.0.0
54e0cdf8d6e2,HS-100308,ACC-2307,cus_100307,T0,T1,T1,2024-08-31,1.0.0
559a1afd0e44,HS-100444,ACC-2443,cus_100443,T0,T1,T1,2024-08-31,1.0.0
55d38d912444,HS-100184,ACC-2183,cus_100183,T0,T1,T1,2024-08-31,1.0.0
565904aa901f,HS-100128,ACC-2127,cus_100127,T2,T1,T2,2024-08-31,1.0.0
566ce673d067,HS-100115,ACC-2114,cus_100114,T0,T1,T1,2024-08-31,1.0.0
567a1080b6c7,HS-100477,ACC-2476,cus_100476,T0,T1,T1,2024-08-31,1.0.0
56cc5e17ca7e,HS-100390,ACC-2389,cus_100389,T0,T1,T1,2024-08-31,1.0.0
572855d81626,HS-100210,ACC-2209,cus_100209,T0,T1,T1,2024-08-31,1.0.0
572d46de8d86,HS-100255,ACC-2254,cus_100254,T0,T1,T1,2024-08-31,1.0.0
57430e054ca2,HS-100623,ACC-2622,cus_100622,T0,T1,T1,2024-08-31,1.0.0
5788d992991c,HS-100489,ACC-2488,cus_100488,T0,T1,T1,2024-08-31,1.0.0
57c8aca8703d,HS-100551,ACC-2550,cus_100550,T0,T1,T1,2024-08-31,1.0.0
58660e0d4e6c,HS-100153,ACC-2152,cus_100152,T0,T1,T1,2024-08-31,1.0.0
58977cac09cc,HS-100425,ACC-2424,cus_100424,T0,T1,T1,2024-08-31,1.0.0
589f42a9c63a,HS-100488,ACC-2487,cus_100487,T0,T1,T1,2024-08-31,1.0.0
5945ffa79bf5,HS-100441,ACC-2440,cus_100440,T0,T1,T1,2024-08-31,1.0.0
598275c8d1e3,HS-100230,ACC-2229,cus_100229,T2,T1,T2,2024-08-31,1.0.0
59a59dbb5c8d,HS-100548,ACC-2547,cus_100547,T0,T1,T1,2024-08-31,1.0.0
59a8da5bbd25,HS-100537,ACC-2536,cus_100536,T0,T1,T1,2024-08-31,1.0.0
5aabb4abe963,HS-100331,ACC-2330,cus_100330,T0,T1,T1,2024-08-31,1.0.0
5aadc6d9beb8,HS-100140,ACC-2139,cus_100139,T0,T1,T1,2024-08-31,1.0.0
5ad0321274f2,HS-100164,ACC-2163,cus_100163,T0,T1,T1,2024-08-31,1.0.0
5ad6ce2d765a,HS-100036,ACC-2035,cus_100035,T0,T1,T1,2024-08-31,1.0.0
5c5dbbe39468,HS-100216,ACC-2215,cus_100215,T0,T1,T1,2024-08-31,1.0.0
5c7bb90cf33d,HS-100124,ACC-2123,cus_100123,T0,T1,T1,2024-08-31,1.0.0
5ca575bf5963,HS-100317,ACC-2316,cus_100316,T0,T1,T1,2024-08-31,1.0.0
5cb37febc3b4,HS-100222,ACC-2221,cus_100221,T0,T1,T1,2024-08-31,1.0.0
5ce69a34518d,HS-100351,ACC-2350,cus_100350,T0,T1,T1,2024-08-31,1.0.0
5d3997bae226,HS-100165,ACC-2164,cus_100164,T0,T1,T1,2024-08-31,1.0.0
5d3a54fbe090,HS-100509,ACC-2508,cus_100508,T0,T1,T1,2024-08-31,1.0.0
5df58f1cd011,HS-100006,ACC-2005,cus_100005,T0,T1,T1,2024-08-31,1.0.0
5f6fe04e3c0d,HS-100530,ACC-2529,cus_100529,T0,T1,T1,2024-08-31,1.0.0
5ff51d984ff6,HS-100541,ACC-2540,cus_100540,T0,T1,T1,2024-08-31,1.0.0
6010a6c2645a,HS-100378,ACC-2377,cus_100377,T0,T1,T1,2024-08-31,1.0.0
605a3500df16,HS-100303,ACC-2302,cus_100302,T0,T1,T1,2024-08-31,1.0.0
61797f4fd29d,HS-100457,ACC-2456,cus_100456,T0,T1,T1,2024-08-31,1.0.0
618a87bd9809,HS-100636,ACC-2635,cus_100635,T0,T1,T1,2024-08-31,1.0.0
61c8003722fd,HS-100053,ACC-2052,cus_100052,T0,T1,T1,2024-08-31,1.0.0
621d856f0a4b,HS-100045,ACC-2044,cus_100044,T2,T1,T2,2024-08-31,1.0.0
62e862d0ba6b,HS-100526,ACC-2525,cus_100525,T0,T1,T1,2024-08-31,1.0.0
62f2df8d7d2e,HS-100180,ACC-2179,cus_100179,T0,T1,T1,2024-08-31,1.0.0
63a717661ec6,HS-100102,ACC-2101,cus_100101,T0,T1,T1,2024-08-31,1.0.0
644cd69de81c,HS-100266,ACC-2265,cus_100265,T0,T1,T1,2024-08-31,1.0.0
64dcc8776b32,HS-100279,ACC-2278,cus_100278,T0,T1,T1,2024-08-31,1.0.0
651fe741fa3d,HS-100196,ACC-2195,cus_100195,T0,T1,T1,2024-08-31,1.0.0
652a84cfe5c1,HS-100631,ACC-2630,cus_100630,T0,T1,T1,2024-08-31,1.0.0
659b8fb24c41,HS-100141,ACC-2140,cus_100140,T0,T1,T1,2024-08-31,1.0.0
664b9e778e26,HS-100377,ACC-2376,cus_100376,T0,T1,T1,2024-08-31,1.0.0
6709cae3efd1,HS-100570,ACC-2569,cus_100569,T2,T1,T2,2024-08-31,1.0.0
67298e35c7b4,HS-100481,ACC-2480,cus_100480,T0,T1,T1,2024-08-31,1.0.0
67934042a230,HS-100243,ACC-2242,cus_100242,T0,T1,T1,2024-08-31,1.0.0
67da30b569af,HS-100418,ACC-2417,cus_100417,T0,T1,T1,2024-08-31,1.0.0
67e350db2ed9,HS-100391,ACC-2390,cus_100390,T0,T1,T1,2024-08-31,1.0.0
6853f3d6a4dc,HS-100259,ACC-2258,cus_100258,T0,T1,T1,2024-08-31,1.0.0
68f66e743a15,HS-100223,ACC-2222,cus_100222,T0,T1,T1,2024-08-31,1.0.0
691d1dc17baa,HS-100302,ACC-2301,cus_100301,T0,T1,T1,2024-08-31,1.0.0
695d5be4f470,HS-100100,ACC-2099,cus_100099,T0,T1,T1,2024-08-31,1.0.0
6978c5309efe,HS-100589,ACC-2588,cus_100588,T0,T1,T1,2024-08-31,1.0.0
69901e51bc3c,HS-100420,ACC-2419,cus_100419,T0,T1,T1,2024-08-31,1.0.0
699ff55001cc,HS-100097,ACC-2096,cus_100096,T0,T1,T1,2024-08-31,1.0.0
69a9c5b9b867,HS-100183,ACC-2182,cus_100182,T2,T1,T2,2024-08-31,1.0.0
69e452cb7a98,HS-100474,ACC-2473,cus_100473,T0,T1,T1,2024-08-31,1.0.0
6b9938219d8f,HS-100608,ACC-2607,cus_100607,T0,T1,T1,2024-08-31,1.0.0
6bca486a099d,HS-100336,ACC-2335,cus_100335,T0,T1,T1,2024-08-31,1.0.0
6c0b2c4e1901,HS-100632,ACC-2631,cus_100631,T0,T1,T1,2024-08-31,1.0.0
6cf7fe3272fc,HS-100175,ACC-2174,cus_100174,T0,T1,T1,2024-08-31,1.0.0
6cfc2bb220b5,HS-100031,ACC-2030,cus_100030,T0,T1,T1,2024-08-31,1.0.0
6d6157f05d37,HS-100046,ACC-2045,cus_100045,T0,T1,T1,2024-08-31,1.0.0
6d621ac6bce1,HS-100004,ACC-2003,cus_100003,T0,T1,T1,2024-08-31,1.0.0
6d7170e9789b,HS-100024,ACC-2023,cus_100023,T0,T1,T1,2024-08-31,1.0.0
6dd0a835084b,HS-100214,ACC-2213,cus_100213,T2,T1,T2,2024-08-31,1.0.0
6de6d67a878e,HS-100098,ACC-2097,cus_100097,T0,T1,T1,2024-08-31,1.0.0
6e00c339a03e,HS-100332,ACC-2331,cus_100331,T0,T1,T1,2024-08-31,1.0.0
6e9112a3a693,HS-100147,ACC-2146,cus_100146,T0,T1,T1,2024-08-31,1.0.0
6ea450b057ac,HS-100206,ACC-2205,cus_100205,T0,T1,T1,2024-08-31,1.0.0
6eabad2f9e44,HS-100373,ACC-2372,cus_100372,T0,T1,T1,2024-08-31,1.0.0
6f8a65d8e369,HS-100244,ACC-2243,cus_100243,T0,T1,T1,2024-08-31,1.0.0
6fbc308a9ed5,HS-100476,ACC-2475,cus_100475,T0,T1,T1,2024-08-31,1.0.0
701a7145499e,HS-100462,ACC-2461,cus_100461,T0,T1,T1,2024-08-31,1.0.0
705ac77b56d1,HS-100106,ACC-2105,cus_100105,T0,T1,T1,2024-08-31,1.0.0
7098e946d95f,HS-100179,ACC-2178,cus_100178,T0,T1,T1,2024-08-31,1.0.0
70ea0c23bdb2,HS-100038,ACC-2037,cus_100037,T0,T1,T1,2024-08-31,1.0.0
